Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2015-01-28,2201.747642,12768,51.88343736,40.89912281,637172
2015-01-29,2683.51217,14805,52.27996582,40.74974671,637690
2015-01-30,5362.268019,27369,51.8612293,38.92725346,638623
2015-01-31,4687.667736,24398,50.96411745,37.66702189,639508
2015-02-01,6555.354811,31568,56.90901753,45.08996452,641204
2015-02-02,1955.951887,11648,51.90158823,38.35851648,641592
2015-02-03,2367.133774,15134,49.38093669,49.70926391,641996
2015-02-04,2578.412897,14786,52.94043811,38.38090085,642420
2015-02-05,2790.39729,15869,50.98854211,39.58031382,642925
2015-02-06,5384.909252,28239,52.21644412,39.77123836,643714
2015-02-07,4594.377664,24514,51.15405072,37.692747,644431
2015-02-08,3053.29,17128,52.7938501,38.72606259,644977
2015-02-09,2180.511963,12728,53.01111228,37.79855437,645368
2015-02-10,2499.781402,15848,49.67655677,50.31549722,645742
2015-02-11,2655.688692,14672,51.12248723,39.87186478,646162
2015-02-12,3169.744019,17227,51.79508142,37.84176003,646686
2015-02-13,5743.098879,29521,50.44583863,38.35913418,647473
2015-02-14,5872.190561,31050,50.75849753,38.02254428,648382
2015-02-15,3268.101308,17834,51.04847526,37.73690703,648951
2015-02-16,2811.762056,15832,54.44067833,33.41965639,649588
2015-02-17,2918.379533,17483,48.4828301,46.57667448,650053
2015-02-18,2755.121215,15326,52.88521492,38.17042934,650549
2015-02-19,3074.98785,16680,51.73250438,35.83932854,651103
2015-02-20,5523.323832,28620,51.58107678,39.35359888,652015
2015-02-21,4734.37,25093,51.40314438,38.03849679,652760
2015-02-22,3316.696822,18172,53.71694831,37.00748404,653273
2015-02-23,2064.980093,11962,51.36667381,38.27955191,653637
2015-02-24,3030.043551,18323,51.41829799,46.65174917,654207
2015-02-25,3405.862804,18361,48.38916303,44.21872447,654820
2015-02-26,2984.296822,16192,50.14113752,37.58646245,655370
2015-02-27,5013.383178,26021,49.87681384,39.4373775,656126
2015-02-28,4655.935701,24242,48.88672307,37.18340071,656863
2015-03-01,3173.359533,17559,53.18190601,36.7959451,657444
2015-03-02,1981.978785,11659,51.44412223,39.19718672,657810
2015-03-03,2517.858224,15849,48.01099867,48.96207963,658239
2015-03-04,2558.255794,14302,50.05869763,40.02237449,658662
2015-03-05,3031.956449,16560,51.80935884,36.85990338,659189
2015-03-06,5072.485701,26439,51.5687096,38.87060781,659999
2015-03-07,4542.424206,23690,50.47346677,37.64457577,660671
2015-03-08,2947.500935,16205,52.58744775,38.13637766,661091
2015-03-09,2383.859346,11726,43.97986537,38.77707658,661446
2015-03-10,2202.177383,13998,49.16998461,48.87126732,661784
2015-03-11,2343.068131,13409,50.88895944,39.58535312,662149
2015-03-12,2716.75729,15068,50.51095308,40.19777011,662573
2015-03-13,5172.810187,27227,52.50815872,39.0127447,663406
2015-03-14,4384.534953,23279,50.98066006,37.65625671,664113
2015-03-15,2728.50486,15129,53.35725615,37.95359905,664525
2015-03-16,1829.24486,10924,51.55570554,40.41559868,664822
